0                   , 9747      
165                 , 143       
160                 , 13        
150                 , 11        
149                 , 9         
163                 , 8         
162                 , 8         
152                 , 7         
158                 , 6         
147                 , 6         
156                 , 5         
142                 , 5         
155                 , 4         
154                 , 4         
151                 , 4         
164                 , 3         
146                 , 3         
136                 , 3         
145                 , 2         
141                 , 2         
138                 , 2         
133                 , 2         
132                 , 2         
159                 , 1         
